year,page,code,name,opening,received,total,transferred,fa_received,fa_disposed,replied,rejected,disciplinary,fee_rs,charges_rs,penalty_rs,amount_total_rs,capios,cpios,faas,officers_total
2021-22,163,59.26,Planning Department,0,284,284,241,3,3,40,0,0,540,2,0,2,1,1,1,3
2021-22,163,59.27,Department of Social Welfare GNCT of Delhi,6,901,907,76,78,71,815,0,0,1890,380,0,2270,0,52,1,53
2021-22,163,59.28,Registrar Cooperative Society,373,1281,1654,143,1006,965,1403,0,0,13330,19372,0,32702,0,13,1,14
2021-22,163,59.29,Deptt. of Finance,0,854,854,202,0,0,652,0,0,750,0,0,750,0,0,0,0
2021-22,163,59.30,Delhi Electricity Regulatory Commission (DERC),44,426,470,17,41,41,438,0,0,1140,1,0,1254,1,1,1,3
2021-22,163,59.31,MCD,0,247,247,247,14,14,0,0,0,691,0,0,691,0,0,0,0
2021-22,163,59.32,NDMC,0,1693,1693,163,300,247,1101,0,0,13760,17842,0,31602,60,60,24,144
2021-22,163,59.33,Delhi Labour Welfare Board,0,62,62,49,15,0,7,0,0,390,0,0,390,1,0,1,2
2021-22,163,59.34,Information and Technology Department,5,129,134,38,0,0,78,0,0,630,0,0,630,1,1,1,3
2021-22,163,59.35,A and U Tibbia College and Hospital,282,29,311,1,9,2,12,0,0,150,602,0,752,0,1,1,2
2021-22,164,59.36,Acharayashree Bhikshu Government Hospital,1,41,42,0,2,2,42,0,0,175,0,0,175,1,1,1,3
2021-22,164,59.37,Acharya Narendra Dev College,0,18,18,0,0,0,15,3,0,60,0,0,60,2,1,1,4
2021-22,164,59.38,Administrative Reforms Department,0,185,185,73,12,10,109,0,0,970,256,0,1226,1,1,1,3
2021-22,164,59.39,"Art, Culture and Language Department Aruna Asaf Ali Government Hospital [merged 1/2]",0,0,0,6,2,8,4,0,0,0,0,0,0,0,0,0,0
2021-22,164,59.40,"Art, Culture and Language Department Aruna Asaf Ali Government Hospital [merged 2/2]",58,63,121,2,6,6,45,0,0,330,1572,0,1902,0,0,0,0
2021-22,164,59.41,Aryabhat Institute of Technology Department of Women and Child Devel­ opment [merged 1/2],1,16,17,0,0,0,14,119,0,160,0,0,160,0,0,0,0
2021-22,164,59.42,Aryabhat Institute of Technology Department of Women and Child Devel­ opment [merged 2/2],7,832,839,244,70,47,381,0,0,1185,1302,0,2487,0,0,0,0
2021-22,164,59.43,Attar Sain Jain Eye and General Hospital,0,15,15,0,0,0,15,0,0,110,53,0,163,0,1,1,2
2021-22,164,59.44,Babu Jagjivan Ram Memorial Hospital,0,79,79,0,18,13,65,14,0,310,40,0,350,0,0,0,0
2021-22,164,59.45,Bhagini Nivedita College,188,15,203,0,9,1,0,0,0,40,310,0,350,0,0,0,0
2021-22,164,59.46,Bhagwan Mahavir Hospital,0,40,40,0,0,0,37,2,0,345,148,0,493,1,1,1,3
2021-22,164,59.47,Bhim Rao Ambedkar College,151,16,167,0,1,0,0,0,0,30,10,0,40,0,0,1,1
2021-22,164,59.48,Delhi Jal Board,2678,1853,4531,96,441,245,3553,9,0,11240,16316,0,27556,123,80,24,227
2021-22,164,59.49,Board of Homoeopathic System of Medi­ cine Delhi,2,13,15,0,0,0,10,0,0,10,0,0,10,0,0,0,0
2021-22,164,59.50,Board of Technical Education,37,84,121,5,6,6,116,0,0,620,264,0,884,1,1,1,3
2021-22,164,59.51,Central Jail Tihar,1,730,731,150,102,96,581,0,0,1610,880,0,2490,18,19,1,38
2021-22,165,59.52,Chacha Nehru Bal Chikitsalaya,0,45,45,0,7,7,45,0,0,105,10,0,115,0,0,0,0
2021-22,165,59.53,College of Art Commission for OBC [merged 1/2],0,1,1,0,2,2,1,0,0,0,0,0,50,0,1,1,2
2021-22,165,59.54,College of Art Commission for OBC [merged 2/2],,10,10,7,1,1,3,,,60,0,0,60,0,1,,
2021-22,165,59.55,Deen Dayal Upadhyay Hospital,0,243,243,0,12,12,241,2,0,800,1210,0,2010,1,1,1,3
2021-22,165,59.56,Deen Dayal Upadhyaya College Delhi Agricultural Marketing Board [merged 1/2],2,30,32,2,5,0,24,5,0,30,0,0,30,2,1,1,4
2021-22,165,59.57,Deen Dayal Upadhyaya College Delhi Agricultural Marketing Board [merged 2/2],18,34,36,68,30,28,28,1,0,140,83,0,223,14,14,2,30
2021-22,165,59.58,Delhi Bharatiya Chikitsa Parishad,0,6,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-22,165,59.59,Delhi Co Operative Housing Finance Corporation Limited,4,60,64,7,6,5,48,5,0,360,0,0,360,1,1,1,3
2021-22,165,59.60,Delhi Commission for Safai Karamcharis,8,40,48,36,5,5,12,0,0,50,0,0,50,0,0,0,0
2021-22,165,59.61,Delhi Commission for Women,29,445,474,67,46,29,395,0,0,3905,2808,0,6713,1,1,1,3
2021-22,165,59.62,Delhi Consumers Cooperative Wholesale Store Limited,0,5,5,0,4,4,5,0,0,40,,0,40,0,0,0,0
2021-22,165,59.63,Delhi Dental Council,7,26,33,11,0,0,21,0,0,12,0,0,12,1,1,1,3
2021-22,165,59.64,Delhi Fire Services,75,558,633,10,96,40,607,0,0,3635,2056,0,5691,0,8,1,9
2021-22,165,59.65,Delhi Institute of Hotel Management and Catering Technology,0,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-22,165,59.66,Delhi Institute of Pharmaceutical Sciences and Research,1,30,31,0,3,2,27,0,0,310,0,0,310,1,1,1,3
2021-22,165,59.67,Delhi Khadi and Village Industries Board,0,20,20,0,2,2,20,0,0,90,0,0,90,1,1,0,2
2021-22,166,59.68,Delhi Legislative Assembly Secretariat,576,264,840,70,15,12,131,0,0,960,736,0,1696,1,1,1,3
2021-22,166,59.69,Delhi Minorities Commission,12,93,105,9,0,0,95,0,0,520,0,0,520,1,1,0,2
2021-22,166,59.70,Delhi Nursing Council,129,53,182,3,4,0,0,0,0,310,0,0,310,0,0,0,0
2021-22,166,59.71,Delhi Pharmacy Council Delhi Pollution Control Committee [merged 1/2],0,9,9,8,155,105,4,0,0,0,362,0,8,0,0,0,0
2021-22,166,59.72,Delhi Pharmacy Council Delhi Pollution Control Committee [merged 2/2],29,291,320,,,,294,0,,1370,,,1732,,,0,0
2021-22,166,59.73,Delhi Sanskrit Academy Delhi SC ST OBC Minority Handicapped Finance and Dev Corp [merged 1/2],0,10,10,0,0,0,9,0,0,10,0,0,10,0,0,0,0
2021-22,166,59.74,Delhi Sanskrit Academy Delhi SC ST OBC Minority Handicapped Finance and Dev Corp [merged 2/2],0,16,16,0,0,0,16,0,0,50,0,0,50,0,0,0,0
2021-22,166,59.75,Delhi State AIDS Control Society,224,47,271,1,5,1,29,0,0,130,0,0,130,1,0,1,2
2021-22,166,59.76,Delhi State Civil Supplies Corporation Limited,0,28,28,4,3,3,24,0,0,110,162,0,272,0,1,1,2
2021-22,166,59.77,Delhi State Haj Committee,0,8,8,0,0,0,8,0,0,40,0,0,40,0,0,0,0
2021-22,166,59.78,Delhi State Industrial and Infrastructure Development Corporation Limited,23,456,479,38,45,45,436,1,0,2870,600,0,3470,0,0,0,0
2021-22,166,59.79,Delhi Subordinate Services Selection Board,295,8610,8905,363,1591,1482,8109,56,0,0,0,0,0,0,14,2,16
2021-22,166,59.80,Delhi Tourism and Transporation Devel­ opment Corporation Limited,220,130,350,22,34,23,69,0,0,880,370,0,1250,0,12,1,13
2021-22,166,59.81,Delhi Transco Limited,0,217,217,0,50,50,217,0,0,1040,2768,0,3808,1,4,4,9
2021-22,166,59.82,Delhi Transport Corporation,37,1016,1053,154,363,239,339,0,0,8660,1664,0,10324,0,0,0,0
2021-22,166,59.83,Delhi Wakf Board,76,378,454,53,79,61,368,8,0,2320,116,0,2436,0,0,1,1
2021-22,167,59.84,"Department for the Welfare of SC, ST, OBC and Minorities",85,381,466,70,36,32,347,4,0,1750,0,0,1750,1,1,1,3
2021-22,167,59.85,Department of Archaeology Department of Delhi Archives [merged 1/2],17,2,2,7,2,2,0,0,0,0,0,0,50,0,0,0,0
2021-22,167,59.86,Department of Archaeology Department of Delhi Archives [merged 2/2],,159,176,1,,,156,,,1148,2978,,4126,,,,
2021-22,167,59.87,Department of Environment,14,132,146,81,20,0,0,0,0,910,0,0,910,0,1,1,2
2021-22,167,59.88,Department of Food Safety Department of Forest and Wild Life [merged 1/2],5,163,168,67,18,10,85,11,0,1150,10,0,1160,1,17,1,19
2021-22,167,59.89,Department of Food Safety Department of Forest and Wild Life [merged 2/2],73,49,56,22,55,28,34,0,0,220,110,0,330,0,5,1,6
2021-22,167,59.90,Department of Industries,0,4,7,0,7,6,2,5,0,5,0,0,5,0,9,1,10
2021-22,167,59.91,"Department of Law, Justice and Legisla­ tive Affairs",87,338,425,225,51,51,53,9,0,0,0,0,0,1,1,1,3
2021-22,167,59.92,Department of Power,0,670,670,176,50,50,494,0,0,535,194,0,729,0,3,1,4
2021-22,167,59.93,Department of Trade and Taxes,4,128,132,6,41,38,107,2,0,1020,0,0,1020,154,1,1,156
2021-22,167,59.94,Department of Training and Technical Education,0,482,482,75,93,66,407,0,0,550,14,0,2000,0,0,0,0
2021-22,167,59.95,Department of Urban Development,11,162,163,74,54,54,88,0,0,219,918,0,113,0,11,2,13
2021-22,167,59.96,Development Department,3,627,630,408,55,42,174,39,0,710,710,0,1420,0,0,0,0
2021-22,167,59.97,Directorate General of Home Guards GNCTD,93,77,170,0,5,1,57,0,0,270,200,0,470,4,1,1,6
2021-22,167,59.98,Directorate of Agricultural Marketing,0,14,14,7,1,1,7,0,0,70,0,0,70,0,1,1,2
2021-22,167,59.99,Directorate of Audit,0,33,33,4,3,2,18,8,0,80,40,0,120,1,1,1,3
2021-22,168,59.100,Directorate of Education,593,21773,22366,5632,1639,967,14922,970,0,37829,13685,0,51514,44,44,8,96
2021-22,168,59.101,Directorate of Employment,0,148,148,115,0,0,29,0,0,130,0,0,130,1,1,1,3
2021-22,168,59.102,Directorate of Family Welfare,6,389,395,123,0,0,256,0,0,110,0,0,110,1,1,1,3
2021-22,168,59.103,Directorate of Gurudwara Election Directorate of Health Services Head Quarter [merged 1/2],0,7,7,1,1,1,6,0,0,70,84,0,54,1,1,1,3
2021-22,168,59.104,Directorate of Gurudwara Election Directorate of Health Services Head Quarter [merged 2/2],9020,8547,17567,2362,250,250,2467,0,0,3930,920,0,4850,1,23,1,25
2021-22,168,59.105,Directorate of Higher Education Directorate of Ayush [merged 1/2],0,150,150,108,5,5,38,0,0,40,0,0,40,0,0,0,0
2021-22,168,59.106,Directorate of Higher Education Directorate of Ayush [merged 2/2],363,118,481,17,3,3,69,0,0,180,190,0,370,2,2,1,5
2021-22,168,59.107,Directorate of Information and Publicity,0,314,314,9,27,25,304,0,0,160,0,0,160,0,2,2,4
2021-22,168,59.108,Directorate of Prohibition,0,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0
2021-22,168,59.109,Directorate of Prosecution Delhi,0,142,142,38,11,11,104,0,0,250,0,0,250,5,1,1,7
2021-22,168,59.110,Directorate of Small Savings and Lotteries,1,6,7,2,2,2,5,0,0,10,0,0,10,1,1,1,3
2021-22,168,59.111,Directorate of Training UTCS,0,6,6,3,0,0,3,0,0,0,0,0,0,1,1,1,3
2021-22,168,59.112,Directorate of Vigilance and Anti Cor­ ruption,21,470,491,148,83,18,319,10,0,1440,362,0,1802,0,9,2,11
2021-22,168,59.113,Dr. B.R. Sur Homoeopathic Medical Col­ lege and Hospital,62,14,76,1,0,0,11,0,0,100,250,0,350,1,1,1,3
2021-22,168,59.114,Dr. Baba Saheb Ambedkar Hospital,20,127,147,3,2,2,142,0,0,820,300,0,1120,1,1,1,3
2021-22,168,59.115,Dr. Hedgewar Arogya Sansthan,9,93,102,7,20,20,93,0,0,850,2684,0,3534,1,1210,1,1212
2021-22,169,59.116,Dr. N.C. Joshi Memorial Hospital,2,19,21,0,2,2,20,0,0,195,0,0,195,0,0,0,0
2021-22,169,59.117,Dte. of Economics and Statistics East Delhi Municipal Corporation Engineering Deptt [merged 1/2],1457,6,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-22,169,59.118,Dte. of Economics and Statistics East Delhi Municipal Corporation Engineering Deptt [merged 2/2],,808,2265,18,,,130,,,0,,,0,,,,
2021-22,169,59.119,East Delhi Municipal Corporation HQ,0,1500,1500,1500,0,0,0,0,0,2230,0,0,2230,0,0,0,0
2021-22,169,59.120,Excise Entertainment and Luxury Tax G.B. Pant Hospital [merged 1/2],0,271,271,0,30,26,271,13,0,0,0,0,0,0,0,0,0
2021-22,169,59.121,Excise Entertainment and Luxury Tax G.B. Pant Hospital [merged 2/2],17,13,30,27,0,0,17,0,0,39,0,0,39,1,1,0,2
2021-22,169,59.122,General Administration Department,4,1,5,265,49,48,451,0,0,0,0,0,0,1,1,1,3
2021-22,169,59.123,Guru Gobind Singh Government Hospital,4,43,47,0,2,2,43,0,0,150,0,0,150,1,1,1,3
2021-22,169,59.124,Guru Gobind Singh Indraprastha University,27,329,356,19,61,61,336,1,0,1140,1502,0,2642,0,1,0,1
2021-22,169,59.125,Guru Nanak Eye Centre,4,28,32,0,4,3,32,0,0,100,86,0,186,0,1,1,2
2021-22,169,59.126,Health and Family Welfare Department,0,3449,3449,3311,190,176,38,0,0,12610,6,0,13220,0,10,1,11
2021-22,169,59.127,Hindi Academy Delhi,0,12,12,0,0,0,12,0,0,10,0,0,10,0,0,0,0
2021-22,169,59.128,Home Department GNCTD,6,596,602,484,25,25,105,0,0,2470,1958,0,4428,8,5,3,16
2021-22,169,59.129,Institute of Human Behaviour and Allied Sciences,5,277,282,2,73,68,257,3,0,1940,408,0,2348,0,0,0,0
2021-22,169,59.130,Irrigation and Flood Control Department,132,1743,1875,32,242,172,1612,0,0,2095,27233,0,29328,0,26,5,31
2021-22,169,59.131,Jag Pravesh Chandra Hospital,9,55,64,2,6,6,59,0,0,475,0,0,475,1,1,1,3
2021-22,170,59.132,Labour Department Delhi,344,1173,1517,89,188,135,1100,0,0,2980,120,0,3100,0,18,13,31
2021-22,170,59.133,Lal Bahadur Shastri Hospital,4,93,97,0,14,12,63,0,0,210,534,0,744,0,0,0,0
2021-22,170,59.134,Land and Building Department,45,689,734,247,104,95,485,0,0,3435,3602,0,7037,6,4,1,11
2021-22,170,59.135,Lok Nayak Hospital Lt. Governors Secretariat [merged 1/2],7,77,34,4,9,9,16,0,0,30,0,0,30,0,1,1,2
2021-22,170,59.136,Lok Nayak Hospital Lt. Governors Secretariat [merged 2/2],21,1685,1706,841,181,12,849,0,0,12990,110,0,13100,1,1,1,3
2021-22,170,59.137,Maharaja Agrasen College Delhi Maharishi Valmiki Hospital [merged 1/2],62,26,88,0,3,0,17,0,0,50,0,0,50,0,0,0,0
2021-22,170,59.138,Maharaja Agrasen College Delhi Maharishi Valmiki Hospital [merged 2/2],0,31,31,0,4,4,31,0,0,90,0,0,90,0,0,0,0
2021-22,170,59.139,Maharshi Valmiki College of Education,0,8,8,1,0,0,2,0,0,30,0,0,30,0,0,0,0
2021-22,170,59.140,Maulana Azad Institute of Dental Sciences,1,28,29,0,4,4,28,0,0,210,0,0,210,0,0,0,0
2021-22,170,59.141,NCC Department,1,11,12,4,2,2,7,1,0,0,0,0,0,0,3,1,4
2021-22,170,59.142,Nehru Homoeopathic Medical College and Hospital,0,24,24,0,3,3,21,1,0,50,50,0,100,0,0,0,0
2021-22,170,59.143,Netaji Subhas Institute of Technology,374,316,690,0,0,0,0,0,0,2470,1906,0,4376,0,0,0,0
2021-22,170,59.144,Principal Account Ofifce,5,335,340,40,29,26,286,0,0,1369,140,0,1509,0,0,0,0
2021-22,170,59.145,Pt Madan Mohan Malviya Hospital,4,26,30,1,11,7,26,2,0,210,0,0,210,1,1,1,3
2021-22,170,59.146,Public Grievance Commission,10,177,187,108,35,35,77,0,0,1140,1774,0,2914,1,0,1,2
2021-22,170,59.147,Public Works Department Delhi,65,1444,1509,741,23,19,748,10,0,3940,0,0,3940,123,123,42,288
2021-22,171,59.148,Punjabi Academy Delhi,0,22,22,1,0,0,18,0,0,20,0,0,20,0,0,0,0
2021-22,171,59.149,Rajya Sainik Board Delhi Rao Tula Ram Memorial Hospital [merged 1/2],2,50,52,0,5,5,47,0,0,0,1730,0,0,0,0,0,0
2021-22,171,59.150,Rajya Sainik Board Delhi Rao Tula Ram Memorial Hospital [merged 2/2],,,,,,,,,,450,,,2180,,,,
2021-22,171,59.151,Registrar Chit Fund,0,5,5,2,0,0,3,0,0,30,160,0,190,0,0,0,0
2021-22,171,59.152,Revenue Department Sahitya Kala Parishad [merged 1/2],0,6492,6492,6492,786,786,0,0,0,27075,46,0,27121,0,107,12,119
2021-22,171,59.153,Revenue Department Sahitya Kala Parishad [merged 2/2],0,7,7,2,1,0,5,0,0,10,0,0,10,1,1,1,3
2021-22,171,59.154,Sanjay Gandhi Memorial Hospital,7,89,96,3,13,4,67,22,0,380,0,0,380,1,1,1,3
2021-22,171,59.155,Sardar Vallabh Bhai Patel Hospital,2,31,33,3,3,2,28,0,0,205,54,0,259,1,1,1,3
2021-22,171,59.156,Satyawadi Raja Harishchandra Hospital,0,52,52,0,2,2,51,0,0,130,0,0,130,1,1,1,3
2021-22,171,59.157,Services Department,1,1498,1499,672,79,0,301,0,0,650,1970,0,2620,8,3,1,12
2021-22,171,59.158,Shaheed Rajguru College of Applied Sci­ ences for Women,0,38,38,0,9,9,38,0,0,0,,0,0,0,0,0,0
2021-22,171,59.159,Shaheed Sukhdev College of Business Studies,1,17,18,0,0,0,18,0,0,10,0,0,10,0,0,0,0
2021-22,171,59.160,Sindhi Academy,0,7,7,0,0,0,7,0,0,0,0,0,0,1,1,1,3
2021-22,171,59.161,State Election Commission Delhi,0,156,156,29,4,4,127,0,0,750,0,0,750,0,0,0,0
2021-22,171,59.162,Tourism Department Delhi,0,21,21,7,1,1,14,0,0,150,28,0,178,0,0,0,0
2021-22,171,59.163,Transport Department Delhi,77,1187,1264,420,191,69,681,0,0,7770,1860,0,9630,1,38,15,54
2021-22,172,59.164,North Delhi Municipal Corporation Engineering Deptt,43,771,814,443,34,34,344,3,0,630,40,0,670,0,0,0,0
2021-22,172,59.165,Ambedkar Institute of Technology,389,21,410,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2021-22,172,59.166,Ambedkar Institute of Advance Commu­ nication Technologies and Research Kasturba Institute of Technology Bhai Parmanand Institute of Business [merged 1/2],4,4,8,0,0,0,8,0,0,40,334,0,374,0,1,1,2
2021-22,172,59.167,Ambedkar Institute of Advance Commu­ nication Technologies and Research Kasturba Institute of Technology Bhai Parmanand Institute of Business [merged 2/2],347,4,351,0,9,0,0,0,0,0,0,0,0,1,1,1,3
2021-22,172,59.168,Studies Delhi Dialogue & Development Com­ mission Deputy Apprenticeship Advisor [merged 1/3],0,4,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2021-22,172,59.169,Studies Delhi Dialogue & Development Com­ mission Deputy Apprenticeship Advisor [merged 2/3],0,19,19,8,5,3,11,0,0,0,0,0,0,1,0,0,0
2021-22,172,59.170,Studies Delhi Dialogue & Development Com­ mission Deputy Apprenticeship Advisor [merged 3/3],0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,3
2021-22,172,59.171,DFC (New Delhi & Chandigarh),0,7,7,0,1,1,6,0,0,70,12,0,82,1,1,1,3
2021-22,172,59.172,Forensic Science Laboratory,27,113,140,16,21,21,97,0,0,890,478,0,1368,0,2,2,4
2021-22,172,59.173,G B Pant Institute of Technology,0,15,15,1,0,0,14,0,0,0,0,0,0,1,1,1,3
2021-22,172,59.174,Guru Nanak Institute of Technology,5,11,16,0,2,2,8,0,0,80,30,0,110,1,1,1,3
2021-22,172,59.175,Guru Teg Bahadur (GTB) Hospital,8,357,365,17,64,46,334,0,0,2040,134,0,2174,0,1,1,2
2021-22,172,59.176,Indira Gandhi Delhi Technical University for Women (IGDTUW),6,81,87,2,3,3,68,1,0,490,0,0,490,0,0,0,0
2021-22,172,59.177,Indraprastha Power Generation Co. Ltd. (GENCO),0,156,156,16,8,0,123,11,0,970,0,0,970,1,3,1,5
2021-22,172,59.178,Meera Bai Institute of Technology,89,18,107,0,0,0,11,0,0,30,0,0,30,1,1,1,3
2021-22,172,59.179,Ofifce of the Minister (Sh. Rajendra Pal Gautam),0,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,173,59.180,Ofifce of the Minister (Sh. Satyendar Jain),1,423,424,375,26,3,49,0,0,1700,0,0,1700,1,1,1,3
2021-22,173,59.181,Pusa Institute of Technology State Council of Educational Research and Training (SCERT) [merged 1/2],1,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
2021-22,173,59.182,Pusa Institute of Technology State Council of Educational Research and Training (SCERT) [merged 2/2],0,71,71,1,6,6,52,0,0,125,1962,0,2087,1,1,1,3
2021-22,173,59.183,Weight & Measures Department,3,15,18,2,0,0,16,0,0,50,0,0,50,0,0,0,0
2021-22,173,59.184,South Delhi Municipal Corporation Central Zone South Delhi Municipal Corporation [merged 1/2],25,2707,2732,51,210,208,2640,0,0,12600,0,0,12600,24,12,4,40
2021-22,173,59.185,South Delhi Municipal Corporation Central Zone South Delhi Municipal Corporation [merged 2/2],0,19,19,6,1,1,13,0,0,73,5,0,78,0,0,0,0
2021-22,173,59.186,Education Department South Delhi Municipal Corporation Engineering Deptt,0,9,9,2,4,4,7,39,0,0,6,0,6,0,0,0,0
2021-22,173,59.187,South Delhi Municipal Corporation Finance Deptt,0,132,132,48,0,0,84,0,0,100,0,0,100,0,0,0,0
2021-22,173,59.188,South Delhi Municipal Corporation Head Quarter,119,376,495,110,14,14,266,0,0,605,0,0,605,0,0,0,0
2021-22,173,59.189,South Delhi Municipal Corporation Health Department,0,161,161,67,1,1,36,0,0,180,540,0,720,0,0,0,0
2021-22,173,59.190,South Delhi Municipal Corporation Najafgarh Zone,3214,695,3909,21,50,0,0,0,0,3010,2949,0,5959,0,0,0,0
2021-22,173,59.191,South Delhi Municipal Corporation West Zone,3,22,22,3,1,1,17,1,,13,,,13,,1,,2
2021-22,173,59.192,"Maithili Bhojpuri Academy, Delhi",0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2021-22,173,59.193,Dr G G L S Prachya Vidya Pratishthan,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-22,173,59.194,Delhi Medical Council,1964,248,2212,13,15,10,163,0,0,960,2446,0,3406,0,1,1,2
2021-22,173,59.195,CDMO Ofifce (North),4,130,134,12,17,17,115,0,0,180,0,0,180,1,1,0,2
2021-22,174,59.196,Keshav Mahavidyalaya,0,14,14,0,0,0,14,0,0,10,0,0,10,1,1,1,3
2021-22,174,59.197,South Delhi Municipal Corporation Public Health Department,183,425,608,75,12,11,165,0,0,650,55,0,705,1,1,1,3
2022-23,160,59.1,National Law University Delhi,3,45,48,0,2,1,47,0,0,210,0,0,210,0,0,0,0
2022-23,160,59.2,Bhaskaracharaya College of Applied Sciences,0,35,35,0,2,2,34,0,0,70,0,0,70,1,1,1,3
2022-23,160,59.3,Delhi State Legal Services Authority,34,738,772,60,40,24,602,13,0,900,1362,0,2262,2,13,1,16
2022-23,160,59.4,Ofifce of the Deputy Commissioner West,198,1538,1736,284,64,20,1415,0,0,1980,0,0,1980,0,0,0,0
2022-23,160,59.5,Ofifce of the Chief Electoral Ofifcer,28,1208,1236,641,83,35,473,14,0,710,10,0,720,82,82,12,176
2022-23,160,59.6,Ofifce of the Chief Minister Delhi,0,1954,1954,1533,244,244,395,0,0,16420,148,0,16568,1,1,1,3
2022-23,160,59.7,Ofifce of the Chief Secretary Delhi,1,1111,1112,1001,70,68,110,1,0,7065,50,0,7115,0,1,1,2
2022-23,160,59.8,Ofifce of the Deputy Chief Minister,18,406,424,292,11,11,132,0,0,3010,0,0,3010,1,1,1,3
2022-23,160,59.9,Ofifce of the Deputy Commissioner Central,0,1284,1284,618,36,0,0,0,0,2980,0,0,2980,0,0,0,0
2022-23,160,59.10,Ofifce of the Deputy Commissioner New Delhi,5,423,428,23,81,78,393,0,0,810,0,0,810,0,0,0,0
2022-23,160,59.11,Ofifce of the Deputy Commissioner North,156,2360,2516,217,292,292,2142,1,0,10530,0,0,10530,0,0,0,0
2022-23,160,59.12,Ofifce of the Deputy Commissioner North East,307,852,1159,8,2,0,802,0,0,880,0,0,880,0,0,0,0
2022-23,160,59.13,Ofifce of the Deputy Commissioner North West,24,1245,1269,328,120,99,922,0,0,2940,11296,0,14236,6,3,1,10
2022-23,161,59.14,Ofifce of the Deputy Commissioner South,95,1506,1601,485,88,27,1007,0,0,0,0,0,0,0,0,0,0
2022-23,161,59.15,Ofifce of the Deputy Commissioner South West,929,952,1881,148,94,82,1077,0,0,2820,0,0,2820,0,0,0,0
2022-23,161,59.16,Ofifce of the Lokayukta Delhi,3,28,31,10,3,3,21,0,0,130,0,0,130,0,0,0,0
2022-23,161,59.17,Ofifce of the Minister of Food and Civil Supplies,1,37,38,26,6,5,11,0,0,80,24,0,104,0,0,0,0
2022-23,161,59.18,Ofifce of the Minister of Transport Development GAD Employment and Labour,0,72,72,59,1,1,12,0,0,370,0,0,370,0,0,0,0
2022-23,161,59.19,Ofifce of the Minister of Transport Law and Election,0,174,174,141,20,20,33,0,0,1040,0,0,1040,0,1,1,2
2022-23,161,59.20,Dr. B.R. Ambedkar University Delhi,13,118,131,0,26,13,111,0,0,300,0,0,300,0,1,1,2
2022-23,161,59.21,Delhi Technological University,6,171,177,6,31,31,171,0,0,370,100,0,470,1,1,1,3
2022-23,161,59.22,Indira Gandhi Institute of Physical Education and Sports Sciences,0,38,38,0,0,0,38,0,0,40,0,0,40,0,0,0,0
2022-23,161,59.23,Drug Control Department,115,129,244,16,32,12,107,0,0,970,0,0,970,2,1,1,4
2022-23,161,59.24,Maulana Azad Medical College,24,175,199,19,0,0,163,0,0,780,58,0,838,1,1,1,3
2022-23,161,59.25,Urdu Academy Delhi,0,37,37,7,2,0,17,7,0,110,0,0,110,0,0,0,0
2022-23,161,59.26,Planning Department,3,159,162,92,8,8,68,0,0,590,0,0,590,1,1,1,3
2022-23,161,59.27,Department of Social Welfare GNCT of Delhi,16,964,980,85,145,125,888,0,0,1820,1030,0,2850,0,54,1,55
2022-23,161,59.28,Registrar Cooperative Society,108,1282,1390,106,368,310,999,0,0,12880,16399,0,29279,0,0,0,0
2022-23,161,59.29,Deptt. of Finance,0,447,447,243,13,9,127,77,0,680,0,0,680,0,0,0,0
2022-23,161,59.30,Delhi Electricity Regulatory Commission (DERC),15,506,521,37,40,34,433,0,0,910,378,0,1288,1,1,1,3
2022-23,162,59.31,MCD,0,9164,9164,9164,0,0,0,0,0,17460,0,0,17460,0,0,0,0
2022-23,162,59.32,NDMC,429,1519,1948,125,271,187,1677,0,0,13420,4086,0,17506,60,40,24,124
2022-23,162,59.33,Delhi Labour Welfare Board,6,65,71,52,23,0,19,0,0,560,0,0,560,0,1,1,2
2022-23,162,59.34,Information and Technology Department,18,136,154,43,5,5,107,0,0,520,0,0,520,1,2,2,5
2022-23,162,59.35,A and U Tibbia College and Hospital,298,24,322,1,9,1,0,0,0,180,0,0,180,0,1,1,2
2022-23,162,59.36,Acharayashree Bhikshu Government Hospital,0,38,38,0,1,1,36,0,0,140,0,0,140,1,1,1,3
2022-23,162,59.37,Acharya Narendra Dev College,0,29,29,0,1,1,23,6,0,10,31,0,41,2,1,1,4
2022-23,162,59.38,Administrative Reforms Department,3,180,183,53,16,5,123,7,0,790,0,0,790,0,1,1,2
2022-23,162,59.39,"Art, Culture and Language Department",0,55,55,28,6,6,27,0,0,50,0,0,50,0,0,0,0
2022-23,162,59.40,Aruna Asaf Ali Government Hospital,74,92,166,1,15,15,88,0,0,530,0,0,530,0,0,0,0
